Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2007-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.13,0.47,1.00,0.00
2007-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.66,0.39,1.00,0.00
2007-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.46,0.30,1.00,0.00
2007-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,0.21,1.00,0.00
2007-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.40,0.21,1.00,0.00
2007-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.47,0.21,1.00,0.00
2007-01-01 06:00:00,16.41,0.00,16.07,0.34,17.48,0.00,17.48,0.00,14.40,0.28,1.00,0.00
2007-01-01 07:00:00,93.32,44.83,43.78,4.71,243.34,195.72,47.62,743.62,16.60,0.43,0.00,0.00
2007-01-01 08:00:00,327.75,257.40,61.32,9.03,466.46,399.76,66.70,869.54,19.31,0.80,0.00,0.00
2007-01-01 09:00:00,564.83,476.68,75.04,13.11,677.40,595.78,81.62,931.33,22.35,1.26,0.00,0.00
2007-01-01 10:00:00,772.31,669.91,85.79,16.61,857.74,764.42,93.32,966.65,25.26,1.70,0.00,0.00
2007-01-01 11:00:00,929.78,817.04,93.51,19.23,993.24,891.52,101.72,987.58,27.29,2.10,0.00,0.00
2007-01-01 12:00:00,1019.23,900.76,97.76,20.70,1069.22,962.88,106.34,994.83,28.82,2.66,0.00,0.00
2007-01-01 13:00:00,1036.73,917.19,98.55,20.98,1083.66,976.46,107.20,994.57,30.12,3.05,0.00,0.00
2007-01-01 14:00:00,980.94,865.03,95.87,20.05,1035.60,931.32,104.28,987.08,28.97,3.13,0.00,0.00
2007-01-01 15:00:00,857.82,749.92,89.89,18.00,930.00,832.22,97.78,972.53,28.43,3.12,0.00,0.00
2007-01-01 16:00:00,676.49,580.76,80.75,14.97,773.44,685.60,87.84,946.58,27.51,2.96,0.00,0.00
2007-01-01 17:00:00,453.58,373.73,68.66,11.19,578.10,503.42,74.68,901.90,25.89,2.67,0.00,0.00
2007-01-01 18:00:00,213.19,152.84,53.39,6.95,359.12,301.04,58.08,816.33,24.27,1.83,0.00,0.00
2007-01-01 19:00:00,35.73,0.00,33.00,2.73,140.86,104.96,35.90,621.68,22.44,1.17,0.00,0.00
2007-01-01 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.92,0.57,1.00,0.00
2007-01-01 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.69,0.38,1.00,0.00
2007-01-01 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.93,0.25,1.00,0.00
